pop	pop_type	num_TP	out	coexist_length	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
405	del_srlD	8	1	165	105	8	211	200	12	335	100	7	124	112	8	61	15	1	127	0	0	200	12	113	13	0	209	0	0	100	7	8	15	0	101	0	0
406	del_mutL_araBAD	9	1	99	401	33	67	836	95	154	177	20	85	296	9	24	105	0	67	0	0	595	27	68	241	0	154	0	0	140	9	11	37	1	84	0	0
407	del_mutL_srlD	8	1	231	119	9	305	310	15	655	150	2	190	127	8	46	42	0	210	0	0	331	14	159	73	3	400	0	0	151	2	31	15	0	143	0	0
408	del_araBAD	9	1	165	258	0	327	565	2	633	124	0	157	262	0	76	27	0	220	0	0	564	2	149	66	1	418	0	0	123	0	36	14	0	108	0	0
409	del_mutL	8	1	231	97	5	199	312	23	464	128	5	158	97	5	45	45	0	109	0	0	312	23	94	108	0	262	0	0	128	5	18	23	1	116	0	0
410	del_srlD	8	0	0	59	15	119	115	50	130	99	5	82	57	15	21	41	2	57	0	0	114	50	14	21	0	96	0	0	99	5	3	34	0	45	0	0
411	del_mutL_araBAD	9	1	132	245	35	218	689	74	435	246	13	119	245	35	47	46	1	124	0	0	689	73	86	85	1	264	0	0	244	12	13	18	0	91	0	0
412	wt	9	0	0	74	7	27	144	2	87	64	0	54	74	7	0	0	1	26	0	0	145	2	18	0	0	68	0	0	63	0	3	0	0	52	0	0
413	wt	8	0	0	126	107	64	338	216	114	111	51	53	126	106	2	3	2	58	0	0	338	216	0	2	0	112	0	0	111	51	1	2	2	48	0	0
414	del_mutL_srlD	9	1	198	341	4	672	639	15	1296	235	5	283	346	4	305	85	1	276	0	0	658	15	575	173	1	528	0	0	229	3	112	44	2	133	0	0
415	del_araBAD	9	1	66	123	22	198	327	53	465	120	10	186	123	20	28	39	2	131	0	0	329	53	57	59	0	347	0	0	120	10	9	38	0	139	0	0
416	del_mutL	9	0	0	191	46	109	482	99	216	128	17	110	177	14	32	14	0	109	0	0	442	30	66	40	3	216	0	0	119	5	12	9	0	110	0	0
417	del_srlD	9	1	165	104	1	88	217	10	216	148	3	46	104	0	8	32	0	49	0	0	217	7	54	63	3	99	0	0	148	2	14	17	0	16	0	0
418	del_mutL_araBAD	9	1	165	158	2	307	436	15	798	186	3	205	156	2	49	135	0	125	0	0	436	15	155	259	1	383	0	0	184	2	41	61	0	106	0	0
419	del_mutL_srlD	8	1	132	777	42	103	764	154	110	314	39	29	745	0	42	47	0	88	0	0	618	1	153	150	0	106	0	0	290	0	39	25	0	28	0	0
420	del_araBAD	9	1	165	166	0	109	310	16	238	154	6	84	166	0	15	14	0	80	0	0	310	16	32	49	0	157	0	0	154	6	4	10	0	70	0	0
421	del_mutL	8	1	66	162	40	136	348	106	276	105	26	137	109	4	36	53	0	136	0	0	244	27	79	104	0	276	0	0	72	7	19	33	0	137	0	0
422	del_srlD	9	-1	0	77	10	86	148	20	85	116	5	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
423	del_mutL_araBAD	9	1	165	318	51	296	662	106	723	173	26	201	318	51	47	49	0	200	0	0	662	106	104	127	1	491	0	0	173	26	26	40	2	133	0	0
424	wt	9	1	132	96	25	148	269	40	367	133	14	190	96	24	7	20	1	121	0	0	268	39	22	60	1	286	0	0	136	14	9	8	0	170	0	0
501	wt	7	-1	0	131	0	26	259	14	61	117	3	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
502	del_mutL_srlD	7	1	125	55	10	135	134	37	183	89	8	118	66	10	0	31	0	93	0	0	136	36	5	25	1	151	0	0	89	8	2	39	0	77	0	0
503	del_araBAD	8	0	0	89	9	31	161	15	77	102	4	78	77	1	7	12	2	30	0	0	150	3	12	11	0	77	0	0	98	1	3	2	0	80	0	0
504	del_mutL	8	0	0	98	11	42	208	45	71	160	13	63	100	10	0	20	1	20	0	0	208	43	0	17	2	54	0	0	162	12	0	22	1	39	0	0
505	del_srlD	8	-1	0	62	0	124	104	13	180	111	2	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
506	del_mutL_araBAD	8	1	25	133	17	78	384	42	192	153	8	66	124	6	11	9	0	78	0	0	343	24	17	40	1	193	0	0	140	4	4	13	0	66	0	0
507	del_mutL_srlD	5	0	0	205	6	156	440	26	213	146	7	101	198	6	8	73	11	71	0	0	439	26	2	108	4	100	0	0	146	7	0	34	0	67	0	0
508	del_araBAD	7	-1	0	198	9	54	187	15	40	112	6	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
509	del_mutL	8	-1	0	168	10	65	501	47	136	168	10	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
510	del_srlD	8	0	0	52	0	112	142	17	74	112	2	94	40	0	0	12	2	110	0	0	98	9	4	44	5	73	0	0	82	1	1	29	0	95	0	0
511	del_mutL_araBAD	6	0	0	80	16	45	239	50	63	82	13	65	95	14	5	0	2	25	0	0	261	50	0	0	0	41	0	0	91	14	0	0	3	52	0	0
512	wt	7	0	0	30	9	28	94	18	41	76	4	51	30	4	5	0	0	28	0	0	94	5	12	0	3	39	0	0	76	2	1	0	2	50	0	0
513	wt	7	0	0	72	0	42	207	7	93	124	1	52	72	0	1	15	0	26	0	0	206	7	10	42	0	42	0	0	124	1	2	16	0	34	0	0
514	del_mutL_srlD	8	0	0	183	11	148	580	30	201	236	8	82	190	4	28	0	0	120	0	0	582	14	83	0	1	131	0	0	236	3	17	0	0	70	0	0
515	del_araBAD	8	0	0	106	9	17	199	14	31	93	4	30	69	8	0	38	1	16	0	0	107	9	4	92	2	30	0	0	69	2	1	25	2	28	0	0
516	del_mutL	8	0	0	337	77	165	738	217	299	222	29	93	270	49	26	67	0	167	0	0	604	150	66	133	0	301	0	0	183	20	9	39	0	93	0	0
517	del_srlD	8	-1	0	192	0	100	421	12	73	151	1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
518	del_mutL_araBAD	8	-1	0	392	13	37	818	43	91	219	13	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
519	del_mutL_srlD	8	0	0	182	20	114	501	50	79	209	9	81	191	18	14	17	5	71	0	0	502	38	10	17	12	51	0	0	208	8	0	44	1	38	0	0
520	del_araBAD	8	0	0	34	9	39	153	17	64	119	3	90	40	4	0	3	5	30	0	0	155	17	0	2	2	58	0	0	133	3	0	10	0	66	0	0
521	del_mutL	7	1	100	47	6	79	239	18	197	91	6	107	53	2	10	2	5	60	0	0	254	6	30	11	21	132	0	0	92	1	5	3	8	95	0	0
522	del_srlD	8	-1	0	61	0	92	154	15	82	103	1	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
523	del_mutL_araBAD	8	0	0	284	12	53	635	39	94	160	10	60	247	10	2	0	0	90	0	0	551	27	12	0	0	178	0	0	156	7	3	0	0	64	0	0
524	wt	7	-1	0	54	1	29	193	10	82	103	1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
