pop	pop_type	num_TP	out	coexist_length	mutate_TP	all	fixed_basal
314	del_mutL_srlD	8	1	9240	20789	0	0
315	del_araBAD	9	1	13860	2079	3	3
315	del_araBAD	9	1	13860	4620	43	3
315	del_araBAD	9	1	13860	6929	15	0
315	del_araBAD	9	1	13860	9240	4	0
315	del_araBAD	9	1	13860	11549	20	0
315	del_araBAD	9	1	13860	13859	10	0
315	del_araBAD	9	1	13860	16169	15	1
315	del_araBAD	9	1	13860	18480	50	0
315	del_araBAD	9	1	13860	20789	0	0
316	del_mutL	9	1	16169	2079	141	133
316	del_mutL	9	1	16169	4620	744	4
316	del_mutL	9	1	16169	6929	56	1
316	del_mutL	9	1	16169	9240	241	0
316	del_mutL	9	1	16169	11549	300	1
316	del_mutL	9	1	16169	13859	376	0
316	del_mutL	9	1	16169	16169	196	0
316	del_mutL	9	1	16169	18480	703	0
316	del_mutL	9	1	16169	20789	0	0
317	del_srlD	8	0	0	2079	6	5
317	del_srlD	8	0	0	6929	4	4
317	del_srlD	8	0	0	9240	4	3
317	del_srlD	8	0	0	11549	124	0
317	del_srlD	8	0	0	13859	226	1
317	del_srlD	8	0	0	16169	52	0
317	del_srlD	8	0	0	18480	129	0
317	del_srlD	8	0	0	20789	0	0
318	del_mutL_araBAD	9	1	16169	2079	89	80
318	del_mutL_araBAD	9	1	16169	4620	361	1
318	del_mutL_araBAD	9	1	16169	6929	274	14
318	del_mutL_araBAD	9	1	16169	9240	202	2
318	del_mutL_araBAD	9	1	16169	11549	226	1
318	del_mutL_araBAD	9	1	16169	13859	378	4
318	del_mutL_araBAD	9	1	16169	16169	157	31
318	del_mutL_araBAD	9	1	16169	18480	467	7
318	del_mutL_araBAD	9	1	16169	20789	0	0
319	del_mutL_srlD	8	1	13860	4620	320	268
319	del_mutL_srlD	8	1	13860	6929	429	6
319	del_mutL_srlD	8	1	13860	9240	112	2
319	del_mutL_srlD	8	1	13860	11549	594	0
