pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
206	del_mutL_araBAD	9	0	0	sv	19	4780	4	760
207	del_mutL_srlD	9	1	7920	synonymous	1571	5552	302	1227
207	del_mutL_srlD	9	1	7920	nonsynonymous	2639	5552	580	1227
207	del_mutL_srlD	9	1	7920	nonsense	50	5552	6	1227
207	del_mutL_srlD	9	1	7920	noncoding	25	5552	3	1227
207	del_mutL_srlD	9	1	7920	pseudogene	362	5552	130	1227
207	del_mutL_srlD	9	1	7920	intergenic	649	5552	127	1227
207	del_mutL_srlD	9	1	7920	indel	232	5552	69	1227
207	del_mutL_srlD	9	1	7920	sv	24	5552	10	1227
208	del_araBAD	0	-1	0	synonymous	0	0	0	0
208	del_araBAD	0	-1	0	nonsynonymous	0	0	0	0
208	del_araBAD	0	-1	0	nonsense	0	0	0	0
208	del_araBAD	0	-1	0	noncoding	0	0	0	0
208	del_araBAD	0	-1	0	pseudogene	0	0	0	0
208	del_araBAD	0	-1	0	intergenic	0	0	0	0
208	del_araBAD	0	-1	0	indel	0	0	0	0
208	del_araBAD	0	-1	0	sv	0	0	0	0
209	del_mutL	9	0	0	synonymous	1312	4794	109	426
209	del_mutL	9	0	0	nonsynonymous	2381	4794	237	426
209	del_mutL	9	0	0	nonsense	62	4794	8	426
209	del_mutL	9	0	0	noncoding	36	4794	3	426
209	del_mutL	9	0	0	pseudogene	169	4794	15	426
209	del_mutL	9	0	0	intergenic	663	4794	36	426
209	del_mutL	9	0	0	indel	151	4794	15	426
209	del_mutL	9	0	0	sv	20	4794	3	426
210	del_srlD	9	1	1320	synonymous	219	1181	35	123
210	del_srlD	9	1	1320	nonsynonymous	357	1181	12	123
210	del_srlD	9	1	1320	nonsense	20	1181	2	123
210	del_srlD	9	1	1320	noncoding	45	1181	0	123
210	del_srlD	9	1	1320	pseudogene	191	1181	52	123
210	del_srlD	9	1	1320	intergenic	257	1181	5	123
210	del_srlD	9	1	1320	indel	55	1181	8	123
210	del_srlD	9	1	1320	sv	37	1181	9	123
211	del_mutL_araBAD	7	1	6600	synonymous	1767	6455	505	1745
211	del_mutL_araBAD	7	1	6600	nonsynonymous	3304	6455	938	1745
211	del_mutL_araBAD	7	1	6600	nonsense	71	6455	19	1745
211	del_mutL_araBAD	7	1	6600	noncoding	44	6455	5	1745
211	del_mutL_araBAD	7	1	6600	pseudogene	237	6455	57	1745
211	del_mutL_araBAD	7	1	6600	intergenic	756	6455	179	1745
211	del_mutL_araBAD	7	1	6600	indel	241	6455	35	1745
211	del_mutL_araBAD	7	1	6600	sv	35	6455	7	1745
212	wt	9	1	7920	synonymous	175	1004	8	50
212	wt	9	1	7920	nonsynonymous	352	1004	13	50
212	wt	9	1	7920	nonsense	21	1004	3	50
212	wt	9	1	7920	noncoding	54	1004	0	50
212	wt	9	1	7920	pseudogene	75	1004	0	50
212	wt	9	1	7920	intergenic	210	1004	5	50
212	wt	9	1	7920	indel	58	1004	3	50
212	wt	9	1	7920	sv	59	1004	18	50
213	wt	8	0	0	synonymous	118	843	9	70
213	wt	8	0	0	nonsynonymous	296	843	11	70
213	wt	8	0	0	nonsense	21	843	1	70
213	wt	8	0	0	noncoding	15	843	1	70
213	wt	8	0	0	pseudogene	84	843	3	70
213	wt	8	0	0	intergenic	213	843	25	70
213	wt	8	0	0	indel	26	843	2	70
213	wt	8	0	0	sv	70	843	18	70
214	del_mutL_srlD	9	1	9240	synonymous	1055	4510	205	868
214	del_mutL_srlD	9	1	9240	nonsynonymous	2276	4510	461	868
214	del_mutL_srlD	9	1	9240	nonsense	73	4510	13	868
214	del_mutL_srlD	9	1	9240	noncoding	28	4510	0	868
214	del_mutL_srlD	9	1	9240	pseudogene	302	4510	60	868
214	del_mutL_srlD	9	1	9240	intergenic	611	4510	80	868
214	del_mutL_srlD	9	1	9240	indel	146	4510	43	868
214	del_mutL_srlD	9	1	9240	sv	19	4510	6	868
215	del_araBAD	9	-1	0	synonymous	152	897	0	1
215	del_araBAD	9	-1	0	nonsynonymous	289	897	0	1
215	del_araBAD	9	-1	0	nonsense	20	897	0	1
215	del_araBAD	9	-1	0	noncoding	18	897	0	1
215	del_araBAD	9	-1	0	pseudogene	84	897	0	1
215	del_araBAD	9	-1	0	intergenic	247	897	1	1
215	del_araBAD	9	-1	0	indel	31	897	0	1
215	del_araBAD	9	-1	0	sv	56	897	0	1
216	del_mutL	9	1	9240	synonymous	1777	7861	240	883
216	del_mutL	9	1	9240	nonsynonymous	4444	7861	484	883
216	del_mutL	9	1	9240	nonsense	119	7861	10	883
216	del_mutL	9	1	9240	noncoding	38	7861	6	883
216	del_mutL	9	1	9240	pseudogene	352	7861	32	883
216	del_mutL	9	1	9240	intergenic	987	7861	86	883
216	del_mutL	9	1	9240	indel	120	7861	21	883
216	del_mutL	9	1	9240	sv	24	7861	4	883
217	del_srlD	8	1	9240	synonymous	1404	5932	174	607
217	del_srlD	8	1	9240	nonsynonymous	3054	5932	289	607
217	del_srlD	8	1	9240	nonsense	98	5932	7	607
