pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
210	del_srlD	9	1	1320	synonymous	219	1181	2	22
210	del_srlD	9	1	1320	nonsynonymous	357	1181	4	22
210	del_srlD	9	1	1320	nonsense	20	1181	2	22
210	del_srlD	9	1	1320	noncoding	45	1181	0	22
210	del_srlD	9	1	1320	pseudogene	191	1181	0	22
210	del_srlD	9	1	1320	intergenic	257	1181	4	22
210	del_srlD	9	1	1320	indel	55	1181	5	22
210	del_srlD	9	1	1320	sv	37	1181	5	22
211	del_mutL_araBAD	7	1	6600	synonymous	1767	6455	0	23
211	del_mutL_araBAD	7	1	6600	nonsynonymous	3304	6455	3	23
211	del_mutL_araBAD	7	1	6600	nonsense	71	6455	0	23
211	del_mutL_araBAD	7	1	6600	noncoding	44	6455	0	23
211	del_mutL_araBAD	7	1	6600	pseudogene	237	6455	1	23
211	del_mutL_araBAD	7	1	6600	intergenic	756	6455	3	23
211	del_mutL_araBAD	7	1	6600	indel	241	6455	16	23
211	del_mutL_araBAD	7	1	6600	sv	35	6455	0	23
212	wt	9	1	7920	synonymous	175	1004	0	8
212	wt	9	1	7920	nonsynonymous	352	1004	2	8
212	wt	9	1	7920	nonsense	21	1004	2	8
212	wt	9	1	7920	noncoding	54	1004	0	8
212	wt	9	1	7920	pseudogene	75	1004	0	8
212	wt	9	1	7920	intergenic	210	1004	0	8
212	wt	9	1	7920	indel	58	1004	1	8
212	wt	9	1	7920	sv	59	1004	3	8
213	wt	8	0	0	synonymous	118	843	0	9
213	wt	8	0	0	nonsynonymous	296	843	3	9
213	wt	8	0	0	nonsense	21	843	0	9
213	wt	8	0	0	noncoding	15	843	0	9
213	wt	8	0	0	pseudogene	84	843	0	9
213	wt	8	0	0	intergenic	213	843	2	9
213	wt	8	0	0	indel	26	843	1	9
213	wt	8	0	0	sv	70	843	3	9
214	del_mutL_srlD	9	1	9240	synonymous	1055	4510	7	62
214	del_mutL_srlD	9	1	9240	nonsynonymous	2276	4510	15	62
214	del_mutL_srlD	9	1	9240	nonsense	73	4510	0	62
214	del_mutL_srlD	9	1	9240	noncoding	28	4510	0	62
214	del_mutL_srlD	9	1	9240	pseudogene	302	4510	1	62
214	del_mutL_srlD	9	1	9240	intergenic	611	4510	4	62
214	del_mutL_srlD	9	1	9240	indel	146	4510	34	62
214	del_mutL_srlD	9	1	9240	sv	19	4510	1	62
215	del_araBAD	9	-1	0	synonymous	152	897	0	0
215	del_araBAD	9	-1	0	nonsynonymous	289	897	0	0
