"pop" "pop_type" "day" "num_fixed_basal" "num_fixed_major_minor" "ratio"
"421" 219 "del_mutL_srlD" 900 69 333 0.171641791044776
"6" 220 "del_araBAD" 200 3 0 1
"467" 220 "del_araBAD" 300 0 8 0
"505" 220 "del_araBAD" 400 0 2 0
"192" 220 "del_araBAD" 500 2 2 0.5
"234" 220 "del_araBAD" 600 1 5 0.166666666666667
"680" 220 "del_araBAD" 800 0 10 0
"723" 220 "del_araBAD" 900 0 9 0
"15" 221 "del_mutL" 200 15 0 1
"473" 221 "del_mutL" 300 0 9 0
"513" 221 "del_mutL" 400 0 5 0
"198" 221 "del_mutL" 500 4 7 0.363636363636364
"600" 221 "del_mutL" 600 0 32 0
"650" 221 "del_mutL" 700 0 328 0
"334" 221 "del_mutL" 800 3 391 0.00761421319796954
"399" 221 "del_mutL" 900 57 191 0.229838709677419
"48" 222 "del_srlD" 200 4 0 1
"499" 222 "del_srlD" 300 0 3 0
"536" 222 "del_srlD" 400 0 2 0
"628" 222 "del_srlD" 600 0 21 0
"666" 222 "del_srlD" 700 0 3 0
"708" 222 "del_srlD" 800 0 59 0
"26" 223 "del_mutL_araBAD" 200 4 0 1
"483" 223 "del_mutL_araBAD" 300 0 145 0
"563" 223 "del_mutL_araBAD" 500 0 44 0
"611" 223 "del_mutL_araBAD" 600 0 54 0
"294" 223 "del_mutL_araBAD" 700 1 186 0.0053475935828877
"695" 223 "del_mutL_araBAD" 800 0 279 0
"408" 223 "del_mutL_araBAD" 900 74 567 0.115444617784711
"57" 301 "wt" 200 4 0 1
"113" 301 "wt" 300 1 6 0.142857142857143
"540" 301 "wt" 400 0 48 0
"228" 301 "wt" 500 4 11 0.266666666666667
"632" 301 "wt" 600 0 2 0
"674" 301 "wt" 700 0 2 0
"716" 301 "wt" 800 0 3 0
"40" 302 "del_mutL_srlD" 200 3 0 1
"101" 302 "del_mutL_srlD" 300 1 267 0.00373134328358209
"531" 302 "del_mutL_srlD" 400 0 27 0
"215" 302 "del_mutL_srlD" 500 1 286 0.00348432055749129
"248" 302 "del_mutL_srlD" 600 4 100 0.0384615384615385
"307" 302 "del_mutL_srlD" 700 25 306 0.0755287009063444
"364" 302 "del_mutL_srlD" 800 108 83 0.565445026178011
"739" 302 "del_mutL_srlD" 900 0 58 0
"7" 303 "del_araBAD" 200 1 0 1
"83" 303 "del_araBAD" 300 1 12 0.0769230769230769
"506" 303 "del_araBAD" 400 0 11 0
"547" 303 "del_araBAD" 500 0 3 0
"589" 303 "del_araBAD" 600 0 6 0
"641" 303 "del_araBAD" 700 0 20 0
"324" 303 "del_araBAD" 800 1 11 0.0833333333333333
"724" 303 "del_araBAD" 900 0 16 0
"92" 304 "del_mutL" 300 189 0 1
"145" 304 "del_mutL" 400 1 123 0.00806451612903226
"199" 304 "del_mutL" 500 1 100 0.0099009900990099
"238" 304 "del_mutL" 600 1 220 0.00452488687782805
"284" 304 "del_mutL" 700 12 429 0.0272108843537415
"335" 304 "del_mutL" 800 67 441 0.131889763779528
"731" 304 "del_mutL" 900 0 271 0
"222" 305 "del_srlD" 500 15 0 1
"253" 305 "del_srlD" 600 3 29 0.09375
"310" 305 "del_srlD" 700 1 55 0.0178571428571429
"709" 305 "del_srlD" 800 0 14 0
"743" 305 "del_srlD" 900 0 65 0
"27" 306 "del_mutL_araBAD" 200 2 0 1
"97" 306 "del_mutL_araBAD" 300 1 136 0.0072992700729927
"522" 306 "del_mutL_araBAD" 400 0 51 0
"207" 306 "del_mutL_araBAD" 500 1 123 0.00806451612903226
"612" 306 "del_mutL_araBAD" 600 0 230 0
"295" 306 "del_mutL_araBAD" 700 1 267 0.00373134328358209
"348" 306 "del_mutL_araBAD" 800 9 240 0.036144578313253
"409" 306 "del_mutL_araBAD" 900 3 1559 0.00192061459667093
"8" 308 "del_araBAD" 200 8 0 1
"84" 308 "del_araBAD" 300 1 0 1
"140" 308 "del_araBAD" 400 4 0 1
"590" 308 "del_araBAD" 600 0 15 0
"642" 308 "del_araBAD" 700 0 11 0
"681" 308 "del_araBAD" 800 0 6 0
"725" 308 "del_araBAD" 900 0 4 0
"16" 309 "del_mutL" 200 1 0 1
"93" 309 "del_mutL" 300 9 0 1
"146" 309 "del_mutL" 400 22 0 1
"200" 309 "del_mutL" 500 22 0 1
"239" 309 "del_mutL" 600 5 0 1
"285" 309 "del_mutL" 700 43 0 1
"336" 309 "del_mutL" 800 351 0 1
"732" 309 "del_mutL" 900 0 139 0
"161" 310 "del_srlD" 400 5 0 1
"223" 310 "del_srlD" 500 13 0 1
"667" 310 "del_srlD" 700 0 93 0
"372" 310 "del_srlD" 800 2 12 0.142857142857143
"744" 310 "del_srlD" 900 0 55 0
"28" 311 "del_mutL_araBAD" 200 3 0 1
"523" 311 "del_mutL_araBAD" 400 0 246 0
"564" 311 "del_mutL_araBAD" 500 0 272 0
"242" 311 "del_mutL_araBAD" 600 2 199 0.00995024875621891
"296" 311 "del_mutL_araBAD" 700 4 414 0.00956937799043062
"349" 311 "del_mutL_araBAD" 800 23 413 0.0527522935779817
"410" 311 "del_mutL_araBAD" 900 9 220 0.0393013100436681
"58" 312 "wt" 200 3 0 1
"114" 312 "wt" 300 4 0 1
"167" 312 "wt" 400 1 0 1
"229" 312 "wt" 500 3 0 1
"317" 312 "wt" 700 1 0 1
"382" 312 "wt" 800 1 8 0.111111111111111
"749" 312 "wt" 900 0 5 0
"59" 313 "wt" 200 9 0 1
"115" 313 "wt" 300 1 4 0.2
"541" 313 "wt" 400 0 1 0
"583" 313 "wt" 500 0 11 0
"258" 313 "wt" 600 1 6 0.142857142857143
"318" 313 "wt" 700 1 0 1
"383" 313 "wt" 800 1 11 0.0833333333333333
"750" 313 "wt" 900 0 20 0
"41" 314 "del_mutL_srlD" 200 297 0 1
"102" 314 "del_mutL_srlD" 300 16 0 1
"156" 314 "del_mutL_srlD" 400 16 0 1
"216" 314 "del_mutL_srlD" 500 53 0 1
"249" 314 "del_mutL_srlD" 600 19 93 0.169642857142857
"365" 314 "del_mutL_srlD" 800 7 156 0.0429447852760736
"422" 314 "del_mutL_srlD" 900 18 181 0.0904522613065327
"9" 315 "del_araBAD" 200 3 0 1
"85" 315 "del_araBAD" 300 3 13 0.1875
"507" 315 "del_araBAD" 400 0 1 0
"548" 315 "del_araBAD" 500 0 3 0
"591" 315 "del_araBAD" 600 0 6 0
"643" 315 "del_araBAD" 700 0 12 0
"325" 315 "del_araBAD" 800 1 17 0.0555555555555556
"726" 315 "del_araBAD" 900 0 14 0
"17" 316 "del_mutL" 200 9 0 1
"474" 316 "del_mutL" 300 0 418 0
"514" 316 "del_mutL" 400 0 109 0
"556" 316 "del_mutL" 500 0 177 0
"240" 316 "del_mutL" 600 1 231 0.00431034482758621
"651" 316 "del_mutL" 700 0 274 0
"337" 316 "del_mutL" 800 129 196 0.396923076923077
"733" 316 "del_mutL" 900 0 307 0
"162" 317 "del_srlD" 400 9 0 1
"224" 317 "del_srlD" 500 2 0 1
"629" 317 "del_srlD" 600 0 7 0
"311" 317 "del_srlD" 700 2 46 0.0416666666666667
"710" 317 "del_srlD" 800 0 10 0
"29" 318 "del_mutL_araBAD" 200 73 0 1
"484" 318 "del_mutL_araBAD" 300 0 210 0
"150" 318 "del_mutL_araBAD" 400 2 187 0.0105820105820106
"208" 318 "del_mutL_araBAD" 500 1 239 0.00416666666666667
"243" 318 "del_mutL_araBAD" 600 1 117 0.00847457627118644
"297" 318 "del_mutL_araBAD" 700 6 284 0.0206896551724138
"350" 318 "del_mutL_araBAD" 800 49 166 0.227906976744186
"411" 318 "del_mutL_araBAD" 900 8 188 0.0408163265306122
"103" 319 "del_mutL_srlD" 300 245 0 1
"157" 319 "del_mutL_srlD" 400 5 7 0.416666666666667
"217" 319 "del_mutL_srlD" 500 19 5 0.791666666666667
"250" 319 "del_mutL_srlD" 600 1 0 1
"658" 319 "del_mutL_srlD" 700 0 550 0
"366" 319 "del_mutL_srlD" 800 7 142 0.0469798657718121
"423" 319 "del_mutL_srlD" 900 105 376 0.218295218295218
"10" 320 "del_araBAD" 200 4 0 1
"468" 320 "del_araBAD" 300 0 2 0
"549" 320 "del_araBAD" 500 0 3 0
"592" 320 "del_araBAD" 600 0 3 0
"644" 320 "del_araBAD" 700 0 10 0
"682" 320 "del_araBAD" 800 0 1 0
"727" 320 "del_araBAD" 900 0 5 0
"475" 321 "del_mutL" 300 0 232 0
"147" 321 "del_mutL" 400 20 71 0.21978021978022
"201" 321 "del_mutL" 500 1 345 0.00289017341040462
"601" 321 "del_mutL" 600 0 271 0
"286" 321 "del_mutL" 700 1 214 0.00465116279069767
"338" 321 "del_mutL" 800 24 163 0.128342245989305
"400" 321 "del_mutL" 900 1 1528 0.00065402223675605
"49" 322 "del_srlD" 200 5 0 1
"537" 322 "del_srlD" 400 0 10 0
"578" 322 "del_srlD" 500 0 10 0
"630" 322 "del_srlD" 600 0 1 0
"668" 322 "del_srlD" 700 0 3 0
"711" 322 "del_srlD" 800 0 2 0
"30" 323 "del_mutL_araBAD" 200 29 0 1
"98" 323 "del_mutL_araBAD" 300 5 263 0.0186567164179104
"209" 323 "del_mutL_araBAD" 500 2 213 0.00930232558139535
"613" 323 "del_mutL_araBAD" 600 0 333 0
"298" 323 "del_mutL_araBAD" 700 8 321 0.0243161094224924
